,user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
0,115321157@N03,12111738395_a7f715aa4e_o.jpg,1744,"(4, 6)",m,663,997,637,638,-95,0,129
1,115321157@N03,12112413505_0aea8e17c6_o.jpg,1745,"(48, 53)",m,505,846,433,433,-95,0,72
2,115321157@N03,12112392255_995532c2f0_o.jpg,1744,"(4, 6)",m,517,1185,383,383,0,0,70
3,115321157@N03,12112392255_995532c2f0_o.jpg,1746,"(25, 32)",m,2247,688,376,376,0,30,67
4,115321157@N03,12112392255_995532c2f0_o.jpg,1747,"(25, 32)",m,1421,667,325,325,0,0,102
5,115321157@N03,12111055306_38d54c12ff_o.jpg,1747,"(25, 32)",m,513,247,2205,2201,-95,0,107
6,115321157@N03,12120203274_f0390d9f7c_o.jpg,1748,"(0, 2)",u,0,149,1813,2155,-115,0,78
7,115321157@N03,12123773476_b75f30a314_o.jpg,1748,"(0, 2)",u,1157,721,809,810,-100,45,20
8,115321157@N03,12111034286_4f5bfbacea_o.jpg,1749,"(25, 32)",f,1826,997,306,306,-90,0,89
9,115321157@N03,12119809715_efb705d9bf_o.jpg,1744,"(4, 6)",m,640,596,1237,1236,-100,30,46
10,115321157@N03,12113086695_1962742774_o.jpg,1744,"(4, 6)",m,704,809,1135,1135,-100,0,101
11,115321157@N03,12123096015_ae4d8770fa_o.jpg,1750,57,m,874,624,523,523,-20,-45,33
12,115321157@N03,12123096015_ae4d8770fa_o.jpg,1748,"(0, 2)",u,1091,1012,325,325,-25,0,112
13,115321157@N03,12120187433_4df14bb039_o.jpg,1748,"(0, 2)",u,851,541,1625,1626,-105,0,41
14,115321157@N03,12110347765_b8bb6fed6e_o.jpg,1749,"(25, 32)",f,213,0,744,622,-100,0,134
15,115321157@N03,12110347765_b8bb6fed6e_o.jpg,1747,"(25, 32)",m,246,346,684,614,-85,0,75
16,115321157@N03,12120008724_81dc81b103_o.jpg,1744,"(4, 6)",m,441,879,1039,1039,-105,30,97
17,115321157@N03,12120183513_070b6c677c_o.jpg,1747,"(25, 32)",m,725,497,937,937,-70,30,128
18,115321157@N03,12112793214_c8a93a8aa2_o.jpg,1744,"(4, 6)",m,48,0,1232,960,-95,0,41
19,115321157@N03,12122286096_b89c88efc6_o.jpg,1744,"(4, 6)",m,1047,935,433,434,-105,30,104
20,115321157@N03,12120281146_dffd02a7ed_o.jpg,1749,"(25, 32)",f,399,37,518,641,0,30,78
21,115321157@N03,12123102375_f2f7648e8f_o.jpg,1748,"(0, 2)",u,551,761,975,976,-85,15,78
22,115321157@N03,12110382715_bb0193c359_o.jpg,1747,"(25, 32)",m,431,1225,1231,1223,-95,0,75
23,115321157@N03,12119891043_aae1a6f6de_o.jpg,1744,"(4, 6)",m,698,882,694,695,-105,0,103
24,115321157@N03,12120213594_0f07b3f4ed_o.jpg,1744,"(4, 6)",m,656,1437,867,867,-70,-15,16
25,115321157@N03,12113381853_92b62e9e22_o.jpg,1751,55,f,2148,851,306,306,10,0,23
26,115321157@N03,12112755563_388aecd6a1_o.jpg,1747,"(25, 32)",m,648,36,1275,1275,-100,0,93
27,115321157@N03,12110803894_f8e8d05f5f_o.jpg,1750,57,m,567,634,370,370,0,-15,153
28,115321157@N03,12110803894_f8e8d05f5f_o.jpg,1749,"(25, 32)",f,1490,674,312,312,5,0,136
29,115321157@N03,12110803894_f8e8d05f5f_o.jpg,1747,"(25, 32)",m,1938,661,306,306,-5,0,152
30,115321157@N03,12110803894_f8e8d05f5f_o.jpg,1751,55,f,1107,768,287,287,-15,0,115
31,115321157@N03,12121910383_236b3aa1f1_o.jpg,1748,"(0, 2)",u,139,81,928,879,-100,45,30
32,115321157@N03,12113084426_0438f67c9a_o.jpg,1745,"(48, 53)",m,1069,506,465,466,-85,0,44
33,115321157@N03,12113084426_0438f67c9a_o.jpg,1744,"(4, 6)",m,1182,232,376,376,-85,0,68
34,115321157@N03,12113084426_0438f67c9a_o.jpg,1752,"(15, 20)",m,508,1734,338,337,-90,-30,137
35,115321157@N03,12112055063_e256619bf4_o.jpg,1744,"(4, 6)",m,694,924,517,516,-95,-15,13
36,115321157@N03,12119902023_bb49e9b241_o.jpg,1753,"(38, 43)",m,2683,666,287,287,-10,0,103
